drug_name,base_drug_name,drug_class,drug_sub_class,therapeutic_category,dosages,route_of_administration,formulation,search_text,source_files
Stannous Fluoride,stannous fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: stannous fluoride | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Amoxicillin / Omeprazole / Rifabutin,amoxicillin / omeprazole / rifabutin,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: amoxicillin / omeprazole / rifabutin | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Combinations for eradication of Helicobacter pylori | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Sucralfate,sucralfate,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,['10 ml'],oral,suspension,Drug: sucralfate | Dosages: [10 ml] | Form: suspension | Route: oral | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Geranylgeranylacetone,geranylgeranylacetone,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: geranylgeranylacetone | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Acetoxolone,acetoxolone,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: acetoxolone | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Alginic Acid,alginic acid,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: alginic acid | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Bismuth Subnitrate,bismuth subnitrate,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: bismuth subnitrate | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Carbenoxolone,carbenoxolone,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: carbenoxolone | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Bismuth Subcitrate,bismuth subcitrate,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: bismuth subcitrate | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Pirenzepine,pirenzepine,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: pirenzepine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Proglumide,proglumide,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),DRUGS FOR ACID RELATED DISORDERS,[],,,Drug: proglumide | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | Subclass: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) | Therapeutic: DRUGS FOR ACID RELATED DISORDERS,['rxnorm_complete_drug_classification.csv']
Trimebutine,trimebutine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: trimebutine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Difemerine,difemerine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: difemerine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Camylofine,camylofine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: camylofine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Dihexyverine,dihexyverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: dihexyverine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Mebeverine,mebeverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: mebeverine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Oxyphencyclimine,oxyphencyclimine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: oxyphencyclimine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Dicyclomine,dicyclomine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: dicyclomine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Piperidolate,piperidolate,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: piperidolate | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, esters with tertiary amino group | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Mepenzolate,mepenzolate,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: mepenzolate | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Hexocyclium,hexocyclium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: hexocyclium | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Pipenzolate,pipenzolate,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: pipenzolate | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Poldine,poldine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: poldine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Tridihexethyl,tridihexethyl,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: tridihexethyl | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Methantheline,methantheline,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: methantheline | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Oxyphenonium,oxyphenonium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: oxyphenonium | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Propantheline,propantheline,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: propantheline | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Diphemanil,diphemanil,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: diphemanil | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Isopropamide,isopropamide,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: isopropamide | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic anticholinergics, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Tiropramide,tiropramide,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic antispasmodics, amides with tertiary amines",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: tiropramide | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Synthetic antispasmodics, amides with tertiary amines | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Drotaverin,drotaverin,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: drotaverin | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Papaverine and derivatives | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Moxaverine,moxaverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: moxaverine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Papaverine and derivatives | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Papaverine,papaverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: papaverine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Papaverine and derivatives | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Alosetron,alosetron,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Serotonin receptor antagonists,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: alosetron | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Serotonin receptor antagonists | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Alverine,alverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: alverine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Diisopromine,diisopromine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: diisopromine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Fenoverine,fenoverine,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: fenoverine | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Isometheptene,isometheptene,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: isometheptene | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Peppermint Oil,peppermint oil,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: peppermint oil | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Pinaverium,pinaverium,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: pinaverium | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Trepibutone,trepibutone,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: trepibutone | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Phloroglucinol,phloroglucinol,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,Drug: phloroglucinol | Dosages: [] | Form:  | Route:  | Class: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS | Subclass: Other drugs for functional gastrointestinal disorders | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,['rxnorm_complete_drug_classification.csv']
Atropine,atropine,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, tertiary amines",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: atropine | Dosages: [] | Form:  | Route:  | Class: BELLADONNA AND DERIVATIVES, PLAIN | Subclass: Belladonna alkaloids, tertiary amines | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Hyoscyamine,hyoscyamine,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, tertiary amines",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: hyoscyamine | Dosages: [] | Form:  | Route:  | Class: BELLADONNA AND DERIVATIVES, PLAIN | Subclass: Belladonna alkaloids, tertiary amines | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
Butylscopolamine,butylscopolamine,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,[],,,"Drug: butylscopolamine | Dosages: [] | Form:  | Route:  | Class: BELLADONNA AND DERIVATIVES, PLAIN | Subclass: Belladonna alkaloids, semisynthetic, quaternary ammonium compounds | Therapeutic: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",['rxnorm_complete_drug_classification.csv']
